review_ym,n_reviews,avg_rating
2010-05,5298,3.9855
2010-06,5316,3.9522
2010-07,5911,3.9812
2010-08,5396,3.9463
2010-09,5432,3.9672
2010-10,5646,3.9741
2010-11,5349,3.9835
2010-12,5791,4.0501
2011-01,7001,4.0026
2011-02,5946,4.0175
2011-03,6241,3.9816
2011-04,5762,4.0047
2011-05,5708,3.9676
2011-06,5818,3.9775
2011-07,6169,3.9715
2011-08,6552,3.9831
2011-09,6821,3.9452
2011-10,7233,3.982
2011-11,7152,3.9828
2011-12,8674,4.0496
2012-01,9073,4.0447
2012-02,7494,3.9936
2012-03,8029,3.9681
2012-04,7800,3.995
2012-05,8064,3.949
2012-06,7549,3.9258
2012-07,7881,4.0247
2012-08,7816,4.0139
2012-09,9705,4.0855
2012-10,9957,4.0716
2012-11,15428,4.2201
2012-12,30002,4.3156
2013-01,32362,4.2971
2013-02,29470,4.2605
2013-03,30633,4.2657
2013-04,27591,4.2698
2013-05,27661,4.2651
2013-06,26469,4.2221
2013-07,28131,4.2334
2013-08,28639,4.2224
2013-09,25320,4.2257
2013-10,24706,4.2363
2013-11,25208,4.2069
2013-12,34850,4.2558
2014-01,42836,4.2327
2014-02,36734,4.235
2014-03,39545,4.2434
2014-04,33846,4.2264
2014-05,32031,4.2006
2014-06,33075,4.2521
2014-07,56478,4.3439
2014-08,58004,4.3664
2014-09,49762,4.3454
2014-10,53524,4.3366
2014-11,53905,4.3151
2014-12,73885,4.3612
2015-01,60615,4.4204
2015-02,62588,4.3777
2015-03,72153,4.3093
2015-04,61514,4.2807
2015-05,57595,4.2769
2015-06,56950,4.2719
2015-07,56935,4.2683
2015-08,62025,4.2367
2015-09,54358,4.2231
2015-10,57264,4.2399
2015-11,50699,4.2526
2015-12,34560,4.3117
2016-01,51940,4.2795
2016-02,57111,4.2343
2016-03,56929,4.2537
2016-04,41742,4.2744
2016-05,59584,4.2122
2016-06,58713,4.2175
2016-07,54344,4.2229
2016-08,44720,4.2366
2016-09,55234,4.195
2016-10,46579,4.2327
2016-11,35630,4.2542
2016-12,49364,4.2911
2017-01,54091,4.2821
2017-02,28512,4.3375
2017-03,24224,4.4375
2017-04,20224,4.3649
2017-05,18113,4.3758
2017-06,17907,4.3713
2017-07,17893,4.2945
2017-08,19156,4.3596
2017-09,17781,4.3561
2017-10,17442,4.3434
2017-11,14231,4.3029
2017-12,14558,4.2855
2018-01,16505,4.3346
2018-02,15559,4.3497
2018-03,18289,4.3538
2018-04,18436,4.425
2018-05,11295,4.3283
2018-06,6013,4.2957
2018-07,3202,4.2717
2018-08,1533,4.2068
2018-09,364,4.2473
2018-10,1,5.0
